app/(tabs)/analytics.tsx(162,20): error TS2345: Argument of type '"of"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/(tabs)/analytics.tsx(236,48): error TS2345: Argument of type '"stageDurationHeatmap"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/(tabs)/history.tsx(26,35): error TS2345: Argument of type '"assembly"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/(tabs)/history.tsx(28,36): error TS2345: Argument of type '"packaging"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/(tabs)/history.tsx(29,35): error TS2345: Argument of type '"shipping"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/(tabs)/history.tsx(35,33): error TS2345: Argument of type '"idAsc"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/(tabs)/history.tsx(99,45): error TS2345: Argument of type '"at"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/(tabs)/index.tsx(303,126): error TS2345: Argument of type '"aiAssistant"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/(tabs)/profile.tsx(244,35): error TS2345: Argument of type '"myTools"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/(tabs)/profile.tsx(249,26): error TS2345: Argument of type '"adminPanel"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/(tabs)/profile.tsx(249,49): error TS2345: Argument of type '"adminPanelDesc"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/(tabs)/profile.tsx(255,26): error TS2345: Argument of type '"myAnalytics"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/(tabs)/profile.tsx(255,50): error TS2345: Argument of type '"myAnalyticsDesc"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/(tabs)/profile.tsx(261,26): error TS2345: Argument of type '"exportTool"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/(tabs)/profile.tsx(261,49): error TS2345: Argument of type '"exportToolDesc"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/(tabs)/profile.tsx(267,26): error TS2345: Argument of type '"qualityReports"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/(tabs)/profile.tsx(267,53): error TS2345: Argument of type '"qualityReportsDesc"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/(tabs)/profile.tsx(281,26): error TS2345: Argument of type '"teamPerformance"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/(tabs)/profile.tsx(281,54): error TS2345: Argument of type '"teamPerformanceDesc"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/(tabs)/profile.tsx(287,26): error TS2345: Argument of type '"manageStuckCards"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/(tabs)/profile.tsx(287,55): error TS2345: Argument of type '"manageStuckCardsDesc"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/(tabs)/profile.tsx(293,26): error TS2345: Argument of type '"exportTool"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/(tabs)/profile.tsx(293,49): error TS2345: Argument of type '"exportToolDesc"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/(tabs)/profile.tsx(299,26): error TS2345: Argument of type '"qualityReports"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/(tabs)/profile.tsx(299,53): error TS2345: Argument of type '"qualityReportsDesc"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/(tabs)/profile.tsx(307,26): error TS2345: Argument of type '"myRankings"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/(tabs)/profile.tsx(307,49): error TS2345: Argument of type '"myRankingsDesc"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/(tabs)/profile.tsx(313,26): error TS2345: Argument of type '"scanHistory"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/(tabs)/profile.tsx(313,50): error TS2345: Argument of type '"scanHistoryDesc"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/(tabs)/profile.tsx(319,26): error TS2345: Argument of type '"aiFeature"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/(tabs)/profile.tsx(319,48): error TS2345: Argument of type '"aiFeatureDesc"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/(tabs)/quality-report.tsx(38,53): error TS2345: Argument of type '"qualityReport"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/(tabs)/quality-report.tsx(75,32): error TS2345: Argument of type '"noReportsFound"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/activity-feed.tsx(31,24): error TS2345: Argument of type '"movedTo"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
app/activity-feed.tsx(31,110): error TS2345: Argument of type '"nextStage"' is not assignable to parameter of type '"operator" | "supervisor" | "admin" | "completed" | "unknown" | "ping" | "reboot" | "today" | "theme" | "language" | "error" | "loading" | "email" | "password" | "username" | "next" | ... 218 more ... | "dailyAverage"'.
